Bowmans capsule epithelial cell	cell_phenotype	CL:1000450
Breg	cell_phenotype	CL:0000969
C cell	cell_phenotype	CL:0000570
C cell of thyroid gland	cell_phenotype	CL:0000570
CAP motoneuron	cell_phenotype	CL:0000532
CCK cell	cell_phenotype	CL:0002277
CCL3-positive alveolar macrophage	cell_phenotype	CL:4033041
CCR+ Treg	cell_phenotype	CL:0001047
CD10-positive common lymphocyte precursor	cell_phenotype	CL:0001021
CD10-positive common lymphocyte progenitor	cell_phenotype	CL:0001021
CD10-positive common lymphoid precursor	cell_phenotype	CL:0001021
CD103-negative, langerin-positive lymph node dendritic cell	cell_phenotype	CL:0002510
CD103-positive dendritic cell	cell_phenotype	CL:0002461
CD103-positive, langerin-positive lymph node dendritic cell	cell_phenotype	CL:0002509
CD115-positive monocyte	cell_phenotype	CL:0001022
CD115-positive monocyte OR common dendritic progenitor	cell_phenotype	CL:0001019
CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor	cell_phenotype	CL:0001030
CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell	cell_phenotype	CL:0002512
CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell	cell_phenotype	CL:0002511
CD11b-positive dendritic cell	cell_phenotype	CL:0002465
CD11b-positive, CD27-positive natural killer cell, mouse	cell_phenotype	CL:0002426
CD11c+CD123- DC	cell_phenotype	CL:0000782
CD11c-low plasmacytoid dendritic cell	cell_phenotype	CL:0000989
CD11c-negative plasmacytoid dendritic cell	cell_phenotype	CL:0000991
CD133-positive hematopoietic stem cell	cell_phenotype	CL:0001024
CD133-positive prostate epithelial cell	cell_phenotype	CL:0002339
CD14+ dermal DC	cell_phenotype	CL:0002526
CD14-low, CD16-positive monocyte	cell_phenotype	CL:0002396
CD14-positive dermal dendritic cell	cell_phenotype	CL:0002526
CD14-positive monocyte	cell_phenotype	CL:0001054
CD14-positive, CD16-low monocyte	cell_phenotype	CL:0001055
CD14-positive, CD16-negative classical monocyte	cell_phenotype	CL:0002057
CD14-positive, CD16-positive monocyte	cell_phenotype	CL:0002397
CD141-positive myeloid dendritic cell	cell_phenotype	CL:0002394
CD16+ mDC	cell_phenotype	CL:0002532
CD16+ monocyte	cell_phenotype	CL:0002397
CD16+CD56+ NK cell	cell_phenotype	CL:0000939
CD16- monocyte	cell_phenotype	CL:0002057
CD16-CD56bright NK cell	cell_phenotype	CL:0000938
CD16-mDC	cell_phenotype	CL:0002532
CD16-negative monocyte	cell_phenotype	CL:0002057
CD16-negative, CD56-bright NK cell	cell_phenotype	CL:0000938
CD16-negative, CD56-bright natural killer cell, human	cell_phenotype	CL:0000938
CD16-positive myeloid dendritic cell	cell_phenotype	CL:0002532
CD16-positive, CD56-dim NK cell	cell_phenotype	CL:0000939
CD16-positive, CD56-dim natural killer cell, human	cell_phenotype	CL:0000939
CD16-positive, CD56-low NK cell	cell_phenotype	CL:0000939
CD16-positive, CD56-low natural killer cell	cell_phenotype	CL:0000939
CD16-positive, CD56-positive NK cell	cell_phenotype	CL:0000939
CD16-positive, CD56-positive natural killer cell	cell_phenotype	CL:0000939
CD19+ B cell	cell_phenotype	CL:0001201
CD19-positive B cell	cell_phenotype	CL:0001201
CD1a+ dermal DC	cell_phenotype	CL:0002529
CD1a-LC	cell_phenotype	CL:0001014
CD1a-positive Langerhans cell	cell_phenotype	CL:0001014
CD1a-positive dermal dendritic cell	cell_phenotype	CL:0002529
CD1c-positive myeloid dendritic cell	cell_phenotype	CL:0002399
CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell	cell_phenotype	CL:0002037
CD217-positive common lymphocyte precursor	cell_phenotype	CL:0001025
CD217-positive common lymphocyte progenitor	cell_phenotype	CL:0001025
CD217-positive common lymphoid precursor	cell_phenotype	CL:0001025
CD22-positive, CD38-low small pre-B cell	cell_phenotype	CL:0002053
CD24-negative CD38-negative IgG-negative class switched memory B cell	cell_phenotype	CL:0002121
CD24-positive CD38-negative IgG-negative class switched memory B cell	cell_phenotype	CL:0002120
CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	cell_phenotype	CL:4030038
CD24-positive, CD4 single-positive semimature thymocyte	cell_phenotype	CL:0002432
CD24-positive, CD4 single-positive thymocyte	cell_phenotype	CL:0002432
CD24-positive, CD8 single-positive semimature thymocyte	cell_phenotype	CL:0002434
CD24-positive, CD8 single-positive thymocyte	cell_phenotype	CL:0002434
CD25+ mast cell	cell_phenotype	CL:0011023
CD25+ neoplastic mast cell	cell_phenotype	CL:0011023
CD25-positive, CD27-positive immature gamma-delta T cell	cell_phenotype	CL:0002126
CD27-high, CD11b-high natural killer cell, mouse	cell_phenotype	CL:0002347
CD27-high, CD11b-low natural killer cell, mouse	cell_phenotype	CL:0002349
CD27-low, CD11b-high natural killer cell, mouse	cell_phenotype	CL:0002348
CD27-low, CD11b-low immature natural killer cell, mouse	cell_phenotype	CL:0002345
CD27-negative gamma-delta T cell	cell_phenotype	CL:0002125
CD27-positive gamma-delta T cell	cell_phenotype	CL:0002124
CD27-positive, CD38-positive, CD20-negative B cell	cell_phenotype	CL:0000980
CD303-positive dendritic cell	cell_phenotype	CL:0000991
CD34-negative, CD117-positive ILC	cell_phenotype	CL:0001072
CD34-negative, CD117-positive ILCP	cell_phenotype	CL:0001072
CD34-negative, CD117-positive innate lymphoid cell precusor	cell_phenotype	CL:0001072
CD34-negative, CD117-positive innate lymphoid cell, human	cell_phenotype	CL:0001072
CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	cell_phenotype	CL:0002026
CD34-negative, CD56-positive, CD117-positive ILC	cell_phenotype	CL:0001073
CD34-negative, CD56-positive, CD117-positive ILCP	cell_phenotype	CL:0001073
CD34-negative, CD56-positive, CD117-positive innate lymphoid cell precursor	cell_phenotype	CL:0001073
CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	cell_phenotype	CL:0001073
CD34-negative, GlyA-negative proerythroblast	cell_phenotype	CL:0002004
CD34-positive, CD38-negative hematopoietic stem cell	cell_phenotype	CL:0001024
CD34-positive, CD38-negative multipotent progenitor cell	cell_phenotype	CL:0002043
CD34-positive, CD38-positive common lymphoid progenitor	cell_phenotype	CL:0001021
CD34-positive, CD38-positive common myeloid progenitor	cell_phenotype	CL:0001026
CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor	cell_phenotype	CL:0000995
CD34-positive, CD38-positive eosinophil progenitor cell	cell_phenotype	CL:0002008
CD34-positive, CD38-positive granulocyte monocyte progenitor	cell_phenotype	CL:0002001
CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell	cell_phenotype	CL:0002005
CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell	cell_phenotype	CL:0002025
CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell	cell_phenotype	CL:0002023
CD34-positive, CD56-positive, CD117-positive CILP	cell_phenotype	CL:0001074
CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	cell_phenotype	CL:0001074
CD34-positive, GlyA-negative erythroid progenitor cell	cell_phenotype	CL:0002003
CD38+ IgG memory B cell	cell_phenotype	CL:0002105
CD38+ IgG memory B lymphocyte	cell_phenotype	CL:0002105
CD38+ IgG memory B-cell	cell_phenotype	CL:0002105
CD38+ IgG memory B-lymphocyte	cell_phenotype	CL:0002105
CD38+ naive B cell	cell_phenotype	CL:0002101
CD38+ naive B lymphocyte	cell_phenotype	CL:0002101
CD38+ naive B-cell	cell_phenotype	CL:0002101
CD38+ naive B-lymphocyte	cell_phenotype	CL:0002101
CD38+ unswitched memory B cell	cell_phenotype	CL:0002114
CD38+ unswitched memory B lymphocyte	cell_phenotype	CL:0002114
CD38+ unswitched memory B-cell	cell_phenotype	CL:0002114
CD38+ unswitched memory B-lymphocyte	cell_phenotype	CL:0002114
CD38+B220+ naive B cell	cell_phenotype	CL:0002109
CD38+B220+ naive B lymphocyte	cell_phenotype	CL:0002109
CD38+B220+ naive B-cell	cell_phenotype	CL:0002109
CD38+B220+ naive B-lymphocyte	cell_phenotype	CL:0002109
CD38- naive B cell	cell_phenotype	CL:0002102
CD38- naive B lymphocyte	cell_phenotype	CL:0002102
CD38- naive B-cell	cell_phenotype	CL:0002102
CD38- naive B-lymphocyte	cell_phenotype	CL:0002102
CD38- unswitched memory B cell	cell_phenotype	CL:0002111
CD38- unswitched memory B lymphocyte	cell_phenotype	CL:0002111
CD38- unswitched memory B-cell	cell_phenotype	CL:0002111
CD38- unswitched memory B-lymphocyte	cell_phenotype	CL:0002111
CD38-high pre-BCR positive cell	cell_phenotype	CL:0002051
CD38-negative IgG memory B cell	cell_phenotype	CL:0002108
CD38-negative IgG-negative class switched memory B cell	cell_phenotype	CL:0002118
CD38-negative immature B cell	cell_phenotype	CL:0002055
CD38-negative naive B cell	cell_phenotype	CL:0002102
CD38-negative naive B lymphocyte	cell_phenotype	CL:0002102
CD38-negative naive B-cell	cell_phenotype	CL:0002102
CD38-negative naive B-lymphocyte	cell_phenotype	CL:0002102
CD38-negative unswitched memory B cell	cell_phenotype	CL:0002111
CD38-negative unswitched memory B lymphocyte	cell_phenotype	CL:0002111
CD38-negative unswitched memory B-cell	cell_phenotype	CL:0002111
CD38-negative unswitched memory B-lymphocyte	cell_phenotype	CL:0002111
CD38-positive IgG memory B cell	cell_phenotype	CL:0002105
CD38-positive IgG memory B lymphocyte	cell_phenotype	CL:0002105
CD38-positive IgG memory B-cell	cell_phenotype	CL:0002105
CD38-positive IgG memory B-lymphocyte	cell_phenotype	CL:0002105
CD38-positive IgG-negative class switched memory B cell	cell_phenotype	CL:0002119
CD38-positive naive B cell	cell_phenotype	CL:0002101
CD38-positive naive B lymphocyte	cell_phenotype	CL:0002101
CD38-positive naive B-cell	cell_phenotype	CL:0002101
CD38-positive naive B-lymphocyte	cell_phenotype	CL:0002101
CD38-positive unswitched memory B cell	cell_phenotype	CL:0002114
CD38-positive unswitched memory B lymphocyte	cell_phenotype	CL:0002114
CD38-positive unswitched memory B-cell	cell_phenotype	CL:0002114
CD38-positive unswitched memory B-lymphocyte	cell_phenotype	CL:0002114
CD3e-positive T cell	cell_phenotype	CL:0002419
CD4+ TEMRA	cell_phenotype	CL:0001087
CD4-CD8- T cell	cell_phenotype	CL:0002489
CD4-intermediate, CD8-positive double-positive thymocyte	cell_phenotype	CL:0002430
CD4-negative CD8-negative gamma-delta intraepithelial T cell	cell_phenotype	CL:0000803
CD4-negative, CD8-alpha-negative, CD11b-positive dendritic cell	cell_phenotype	CL:0002454
CD4-negative, CD8-negative type I NK T cell	cell_phenotype	CL:0000924
CD4-negative, CD8-negative type I NK T cell secreting IFN-gamma	cell_phenotype	CL:0000929
CD4-negative, CD8-negative type I NK T cell secreting IL-4	cell_phenotype	CL:0000930
