CD34-negative, CD56-positive, CD117-positive innate lymphoid cell precursor	CL:0001073
CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	CL:0001073
CD34-negative, GlyA-negative proerythroblast	CL:0002004
CD34-positive, CD38-negative hematopoietic stem cell	CL:0001024
CD34-positive, CD38-negative multipotent progenitor cell	CL:0002043
CD34-positive, CD38-positive common lymphoid progenitor	CL:0001021
CD34-positive, CD38-positive common myeloid progenitor	CL:0001026
CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor	CL:0000995
CD34-positive, CD38-positive eosinophil progenitor cell	CL:0002008
CD34-positive, CD38-positive granulocyte monocyte progenitor	CL:0002001
CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell	CL:0002005
CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell	CL:0002025
CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell	CL:0002023
CD34-positive, CD56-positive, CD117-positive CILP	CL:0001074
CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	CL:0001074
CD34-positive, GlyA-negative erythroid progenitor cell	CL:0002003
CD38+ IgG memory B cell	CL:0002105
CD38+ IgG memory B lymphocyte	CL:0002105
CD38+ IgG memory B-cell	CL:0002105
CD38+ IgG memory B-lymphocyte	CL:0002105
CD38+ naive B cell	CL:0002101
CD38+ naive B lymphocyte	CL:0002101
CD38+ naive B-cell	CL:0002101
CD38+ naive B-lymphocyte	CL:0002101
CD38+ unswitched memory B cell	CL:0002114
CD38+ unswitched memory B lymphocyte	CL:0002114
CD38+ unswitched memory B-cell	CL:0002114
CD38+ unswitched memory B-lymphocyte	CL:0002114
CD38+B220+ naive B cell	CL:0002109
CD38+B220+ naive B lymphocyte	CL:0002109
CD38+B220+ naive B-cell	CL:0002109
CD38+B220+ naive B-lymphocyte	CL:0002109
CD38- naive B cell	CL:0002102
CD38- naive B lymphocyte	CL:0002102
CD38- naive B-cell	CL:0002102
CD38- naive B-lymphocyte	CL:0002102
CD38- unswitched memory B cell	CL:0002111
CD38- unswitched memory B lymphocyte	CL:0002111
CD38- unswitched memory B-cell	CL:0002111
CD38- unswitched memory B-lymphocyte	CL:0002111
CD38-high pre-BCR positive cell	CL:0002051
CD38-negative IgG memory B cell	CL:0002108
CD38-negative IgG-negative class switched memory B cell	CL:0002118
CD38-negative immature B cell	CL:0002055
CD38-negative naive B cell	CL:0002102
CD38-negative naive B lymphocyte	CL:0002102
CD38-negative naive B-cell	CL:0002102
CD38-negative naive B-lymphocyte	CL:0002102
CD38-negative unswitched memory B cell	CL:0002111
CD38-negative unswitched memory B lymphocyte	CL:0002111
CD38-negative unswitched memory B-cell	CL:0002111
CD38-negative unswitched memory B-lymphocyte	CL:0002111
CD38-positive IgG memory B cell	CL:0002105
CD38-positive IgG memory B lymphocyte	CL:0002105
CD38-positive IgG memory B-cell	CL:0002105
CD38-positive IgG memory B-lymphocyte	CL:0002105
CD38-positive IgG-negative class switched memory B cell	CL:0002119
CD38-positive naive B cell	CL:0002101
CD38-positive naive B lymphocyte	CL:0002101
CD38-positive naive B-cell	CL:0002101
CD38-positive naive B-lymphocyte	CL:0002101
CD38-positive unswitched memory B cell	CL:0002114
CD38-positive unswitched memory B lymphocyte	CL:0002114
CD38-positive unswitched memory B-cell	CL:0002114
CD38-positive unswitched memory B-lymphocyte	CL:0002114
CD3e-positive T cell	CL:0002419
CD4+ TEMRA	CL:0001087
CD4-CD8- T cell	CL:0002489
CD4-intermediate, CD8-positive double-positive thymocyte	CL:0002430
CD4-negative CD8-negative gamma-delta intraepithelial T cell	CL:0000803
CD4-negative, CD8-negative type I NK T cell	CL:0000924
CD4-negative, CD8-negative type I NK T cell secreting IFN-gamma	CL:0000929
CD4-negative, CD8-negative type I NK T cell secreting IL-4	CL:0000930
CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma	CL:0000929
CD4-negative, CD8-negative type I NK T cell secreting interleukin-4	CL:0000930
CD4-negative, CD8-negative type I NK T lymphocyte	CL:0000924
CD4-negative, CD8-negative type I NK T lymphocyte secreting interferon-gamma	CL:0000929
CD4-negative, CD8-negative type I NK T lymphocyte secreting interleukin-4	CL:0000930
CD4-negative, CD8-negative type I NK T-cell	CL:0000924
CD4-negative, CD8-negative type I NK T-cell secreting interferon-gamma	CL:0000929
CD4-negative, CD8-negative type I NK T-cell secreting interleukin-4	CL:0000930
CD4-negative, CD8-negative type I NK T-lymphocyte	CL:0000924
CD4-negative, CD8-negative type I NK T-lymphocyte secreting interferon-gamma	CL:0000929
CD4-negative, CD8-negative type I NK T-lymphocyte secreting interleukin-4	CL:0000930
CD4-negative, CD8-negative type I NKT cell	CL:0000924
CD4-negative, CD8-negative type I NKT cell secreting interferon-gamma	CL:0000929
CD4-negative, CD8-negative type I NKT cell secreting interleukin-4	CL:0000930
CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	CL:0000935
CD4-negative, CD8-negative, alpha-beta intraepithelial T lymphocyte	CL:0000935
CD4-negative, CD8-negative, alpha-beta intraepithelial T-cell	CL:0000935
CD4-negative, CD8-negative, alpha-beta intraepithelial T-lymphocyte	CL:0000935
CD4-negative, CD8-negative, alpha-beta regulatory T cells	CL:0011024
CD4-positive CD11b-positive dendritic cell	CL:0000999
CD4-positive T-helper cell	CL:0000492
CD4-positive TEMRA	CL:0001087
CD4-positive helper T cell	CL:0000492
CD4-positive helper T lymphocyte	CL:0000492
CD4-positive helper T-cell	CL:0000492
CD4-positive helper T-lymphocyte	CL:0000492
CD4-positive type I NK T cell	CL:0000923
CD4-positive type I NK T cell secreting IFN-gamma	CL:0000926
CD4-positive type I NK T cell secreting IL-4	CL:0000927
CD4-positive type I NK T cell secreting interferon-gamma	CL:0000926
CD4-positive type I NK T cell secreting interleukin-4	CL:0000927
CD4-positive type I NK T lymphocyte	CL:0000923
CD4-positive type I NK T lymphocyte secreting interferon-gamma	CL:0000926
CD4-positive type I NK T lymphocyte secreting interleukin-4	CL:0000927
CD4-positive type I NK T-cell	CL:0000923
CD4-positive type I NK T-cell secreting interferon-gamma	CL:0000926
CD4-positive type I NK T-cell secreting interleukin-4	CL:0000927
CD4-positive type I NK T-lymphocyte	CL:0000923
CD4-positive type I NK T-lymphocyte secreting interferon-gamma	CL:0000926
CD4-positive type I NK T-lymphocyte secreting interleukin-4	CL:0000927
CD4-positive type I NKT cell	CL:0000923
CD4-positive type I NKT cell secreting interferon-gamma	CL:0000926
CD4-positive type I NKT cell secreting interleukin-4	CL:0000927
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell	CL:0001047
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T lymphocyte	CL:0001047
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-cell	CL:0001047
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-lymphocyte	CL:0001047
CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000792
CD4-positive, CD25-positive, alpha-beta regulatory T lymphocyte	CL:0000792
CD4-positive, CD25-positive, alpha-beta regulatory T-cell	CL:0000792
CD4-positive, CD25-positive, alpha-beta regulatory T-lymphocyte	CL:0000792
CD4-positive, CD8-intermediate double-positive thymocyte	CL:0002431
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell	CL:0001051
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T lymphocyte	CL:0001051
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T-cell	CL:0001051
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T-lymphocyte	CL:0001051
CD4-positive, alpha-beta T cell	CL:0000624
CD4-positive, alpha-beta T lymphocyte	CL:0000624
CD4-positive, alpha-beta T-cell	CL:0000624
CD4-positive, alpha-beta T-lymphocyte	CL:0000624
CD4-positive, alpha-beta cytotoxic T cell	CL:0000934
CD4-positive, alpha-beta cytotoxic T lymphocyte	CL:0000934
CD4-positive, alpha-beta cytotoxic T-cell	CL:0000934
CD4-positive, alpha-beta cytotoxic T-lymphocyte	CL:0000934
CD4-positive, alpha-beta immature T lymphocyte	CL:0000810
CD4-positive, alpha-beta immature T-cell	CL:0000810
CD4-positive, alpha-beta immature T-lymphocyte	CL:0000810
CD4-positive, alpha-beta intraepithelial T cell	CL:0000793
CD4-positive, alpha-beta intraepithelial T lymphocyte	CL:0000793
CD4-positive, alpha-beta intraepithelial T-cell	CL:0000793
CD4-positive, alpha-beta intraepithelial T-lymphocyte	CL:0000793
CD4-positive, alpha-beta memory T cell	CL:0000897
CD4-positive, alpha-beta memory T cell, CD45RO-positive	CL:0001204
CD4-positive, alpha-beta memory T lymphocyte	CL:0000897
CD4-positive, alpha-beta memory T lymphocyte, CD45RO-positive	CL:0001204
CD4-positive, alpha-beta memory T-cell	CL:0000897
CD4-positive, alpha-beta memory T-cell, CD45RO-positive	CL:0001204
CD4-positive, alpha-beta memory T-lymphocyte	CL:0000897
CD4-positive, alpha-beta memory T-lymphocyte, CD45RO-positive	CL:0001204
CD4-positive, alpha-beta thymocyte	CL:0000810
CD4-positive, gamma-delta intraepithelial T lymphocyte	CL:0000803
CD4-positive, gamma-delta intraepithelial T-cell	CL:0000803
CD4-positive, gamma-delta intraepithelial T-lymphocyte	CL:0000803
CD5(+) B1 cell	CL:0000820
CD5+ B1 cell	CL:0000820
CD5-positive B1 cell	CL:0000820
CD56-bright cytokine secreting NK cell	CL:0000938
CD56-bright cytokine secreting natural killer cell	CL:0000938
